UA,Lat,Long,anom_lst_mean,anom_ndvi_mean,anom_prec_mean,anom_rad_mean,anom_umid_mean
377,-27.450553,-49.861572,0.9184260845193037,0.007584886128364499,-0.16532569999999946,0.35933574041178673,-0.6430561577457041
378,-27.450026,-49.770876,0.6406780826011698,0.01727950310559001,-0.0506530000000005,0.3634728513964678,-0.6139871477627565
383,-27.450021,-49.320077,0.8078310536032909,-0.014822360248446853,-0.18136300000000016,0.41067854098419865,-0.5808540887752116
384,-27.449998,-49.230036,0.9934896339113521,0.0030457556935815644,-0.2462093000000003,0.41067854098419865,-0.5808540887752116
385,-27.449998,-49.140007,0.7686045065221343,0.009488405797101529,-0.25294599999999967,0.42045403834526773,-0.5486811644499738
386,-27.450664,-49.050091,0.8366548752534548,0.021911594202898232,-0.40174429999999983,0.4243688640339691,-0.5091889173761217
387,-27.449807,-48.960011,0.6743942168942141,0.027306625258799566,-0.5060297,0.4323336935771227,-0.5853016126119996
388,-27.450111,-48.870046,0.7791163160936527,0.008681159420289353,-0.5734667999999994,0.4337841244279481,-0.7046232263667918
390,-27.45003,-48.690056,0.7000212922264275,-0.009627743271221512,-0.7891680000000001,0.4129916168776475,-0.7863343413703916
391,-27.451048,-48.507324,0.4227547013218782,0.0021335403726709945,-0.9591260000000004,0.40295686181297974,-0.6253417853584011
395,-27.36188,-51.838867,0.24375687397000334,0.014210559006210932,0.022706000000000337,0.24879903830022698,-0.8891778315102954
397,-27.359997,-51.659999,0.38908811530976806,0.025779089026914948,-0.1278410000000001,0.2843911113295494,-1.0487867049302508
398,-27.36098,-51.567902,0.1531597005181382,0.0339225672877842,-0.1508434999999997,0.30297040778805595,-1.1033603854745735
403,-27.359997,-51.120003,0.5952840030293807,0.028599171842650484,0.12599699999999991,0.4024576358734908,-1.0941973764875428
405,-27.36,-50.939998,0.7474613095237963,0.026879710144927516,0.2961891999999997,0.4216112241835823,-1.1400508991961402
409,-27.359239,-50.580802,0.7284078864986405,0.016331469979296354,0.32321879999999936,0.38402421310463275,-0.9466831651113239
413,-27.361006,-50.233636,0.7479487062082342,0.02467619047619085,0.2764033999999995,0.3520769959116734,-0.8119678522184017
415,-27.361396,-50.03834,1.3281875230712359,0.007433954451346203,0.16057129999999997,0.35404150502477094,-0.7367627811264867
419,-27.359938,-49.679891,0.8833964516664032,0.00031552795031075664,0.007472000000000811,0.3763169548993517,-0.7808675116102393
421,-27.360556,-49.502356,0.8486666220844867,0.01585507246376794,-0.04149280000000033,0.3982140375756362,-0.8039865212481345
422,-27.360255,-49.409879,0.7629915453645602,-0.005586956521738684,-0.046583400000000275,0.40885359753877637,-0.7068785694771975
423,-27.359761,-49.319936,0.9676305021548472,-0.019770807453416417,-0.04480229999999974,0.4210921079017318,-0.5746706215093695
424,-27.359744,-49.230109,0.9086693856428063,-0.01194037267080783,-0.17420800000000014,0.4210921079017318,-0.5746706215093695
425,-27.359662,-49.1378,0.7194918840949676,0.0063250517598342215,-0.22098969999999962,0.43003229763310635,-0.470280857960347
426,-27.358318,-49.049952,0.6327091648566245,0.013508488612836267,-0.28945240000000005,0.43003229763310635,-0.470280857960347
427,-27.360019,-48.959972,0.5841224604073112,0.013736024844720252,-0.36783830000000073,0.43301008592816004,-0.5278762570119682
428,-27.359703,-48.867585,0.8429726090654839,0.00014989648033081338,-0.40071350000000017,0.42000776462132094,-0.7731642704526109
429,-27.359897,-48.779951,0.6663901418274314,0.0046939958592132625,-0.40071350000000017,0.42000776462132094,-0.7731642704526109
430,-27.36131,-48.690172,0.7014023048792808,0.0052184265010351005,-0.5217757000000001,0.40478650403865757,-0.874189707479573
435,-27.27191,-52.019828,-0.10725065540990641,0.016969151138716665,0.19921729999999993,0.22527355738827382,-0.8683445167752524
438,-27.26868,-51.749616,0.11449127349439792,0.017981780538301795,0.057458899999999424,0.255765331191542,-1.0768811961733604
442,-27.269726,-51.387925,0.5133070905376727,0.028919047619047178,-0.06607680000000027,0.34503565205454123,-1.14397948383521
450,-27.269038,-50.671342,0.6198978191761704,0.033872877846790606,0.3807912999999994,0.4026161841724587,-1.0377096765307385
453,-27.269855,-50.400364,1.3079861950420693,-0.015618840579709747,0.3744299999999994,0.3702069166418305,-0.9699700644038955
455,-27.270004,-50.220006,0.3260652121649308,0.031210144927536487,0.22662859999999974,0.3659072931569156,-0.856861644634435
456,-27.275022,-50.132416,0.8387536180021549,0.009477225672878009,0.07908239999999989,0.3642151749820908,-0.7925099616599596
457,-27.270264,-50.041035,0.8474812684477833,0.01835714285714285,0.07258399999999998,0.3642151749820908,-0.7925099616599596
460,-27.269969,-49.770206,0.9010206353776482,0.018193788819875323,-0.07764009999999999,0.38444040661328316,-0.9321439304835906
464,-27.269959,-49.410025,0.7381627356909384,0.00043084886128397226,-0.056239099999999986,0.4255326840030591,-0.7258726959869364
465,-27.271411,-49.320267,0.6882527127612192,-0.015041614906832201,-0.06941980000000036,0.4297538364072597,-0.5354027622444875
466,-27.270045,-49.229977,0.7385759340685034,0.0028830227743265047,-0.10336300000000076,0.4297538364072597,-0.5354027622444875
467,-27.270015,-49.140034,1.0784180098557599,0.008148861283644115,-0.11219399999999968,0.436159308424779,-0.4612898989676495
468,-27.2686,-49.052006,0.8075609812839417,0.0107973084886126,-0.19276439999999972,0.43881621898710144,-0.5585822889502197
470,-27.27214,-48.870107,0.802227471840542,-0.012037888198757729,-0.36187919999999973,0.4189134153963039,-0.6175668187094345
483,-28.214251,-50.716115,0.7763773054733818,0.0211550724637678,0.7364639999999998,0.4683926886185752,-1.2315638113834098
487,-27.180019,-52.019849,0.12534830309240164,0.007859627329192875,0.18176140000000007,0.2136298480115073,-0.9813557033140654
491,-27.179999,-51.659997,0.2435238697524511,0.029159420289854854,-0.048202999999999996,0.2654103825281524,-1.1963412503325657
494,-27.178985,-51.387318,0.5021853281853268,0.022955693581780623,-0.12146100000000004,0.3410523796362348,-1.1531206548423398
495,-27.181511,-51.2997,0.23535297896640728,0.022483643892338923,-0.14198500000000003,0.36970975537528794,-1.104618589109137
507,-27.181573,-50.217734,0.836895615971951,0.019660869565217842,0.14573130000000045,0.37608141463954325,-0.8891186514526908
508,-27.180009,-50.130104,0.7571972164643341,0.004472256728778712,0.056604399999999444,0.37316351844687645,-0.8294824824701408
513,-27.179953,-49.680058,0.6603117980862585,0.015575983436852847,-0.014431000000000083,0.41610842988167995,-1.001987927232733
516,-27.180112,-49.410029,0.7360214382782644,-0.004566459627329045,-0.07955929999999967,0.4437225208521731,-0.7002983390609074
517,-27.18001,-49.320013,0.8910407102162914,-0.003361697722567447,-0.1719444000000001,0.44704584617639753,-0.5542073046508165
518,-27.180031,-49.230007,0.7377258620689453,0.013840993788819755,-0.2575402000000002,0.44704584617639753,-0.5542073046508165
519,-27.179958,-49.139986,0.7608647990985808,0.016707867494824002,-0.17410710000000051,0.4485849837308127,-0.43448918974760886
520,-27.179789,-49.049242,0.865570509524904,0.004928778467908956,-0.18577449999999995,0.43902735776988244,-0.5368554270056052
522,-27.181965,-48.871228,0.955053596020317,0.009043685300207271,-0.31439470000000025,0.4131313923915556,-0.6789366483673689
523,-27.180222,-48.779816,0.646105687911124,0.014302898550724641,-0.34432129999999983,0.4000198409520568,-0.8113159208461553
529,-28.169977,-50.760828,0.7165929405829559,0.01569213250517565,0.7843940000000007,0.4728843181982434,-1.2137609880701064
537,-27.090041,-52.830029,-0.283688431723359,0.027334368530020137,0.5435699999999999,0.15320982958584928,-0.7293835638873531
551,-27.089858,-51.572328,0.4802716342072557,0.02498861283643894,-0.03939039999999938,0.2874636661005354,-1.2381150550812379
555,-27.090696,-51.209138,0.6957441120480397,0.025329813664595746,0.04936770000000035,0.39847619153626823,-1.0950579213315592
561,-27.088744,-50.671426,0.48017335834897423,0.02662360248447171,0.4129073999999999,0.42286960192058665,-1.1992585426888382
562,-27.090955,-50.579798,0.7535205110247816,0.016241407867494728,0.37823729999999944,0.41188038452612474,-1.1051189926995733
565,-27.091896,-50.312156,1.081582421524704,-0.016069151138716764,0.29575689999999977,0.3949031536109828,-0.9518579684483655
566,-27.092498,-50.220089,0.6574380020957058,0.01226604554865418,0.12185999999999986,0.3889402934913342,-0.8965417072197965
568,-27.09198,-50.037394,0.7050097596054918,0.01574575569358172,-0.19942629999999983,0.3857747179923976,-0.8880253701549208
570,-27.089504,-49.857519,0.37785827582655784,0.02626997929606667,-0.1251023999999994,0.4061343782513198,-1.10747205029341
571,-27.090102,-49.770018,0.7727949963208154,0.02289896480331255,-0.057034900000000555,0.42024612402919637,-1.2081853882129394
573,-27.089982,-49.589992,0.6626092029080297,0.021383229813664473,-0.01663329999999963,0.4526300866205535,-1.118880758684071
575,-27.089867,-49.410075,0.66185221477852,0.013093581780538655,-0.048818000000000694,0.4649583609383363,-0.7837656339193302
576,-27.08984,-49.32009,0.6633830873338624,-0.002973084886127575,-0.10668279999999974,0.46063074099709134,-0.5701694991119837
577,-27.089908,-49.230095,0.7167549547797627,0.013289233954450919,-0.15318539999999992,0.46063074099709134,-0.5701694991119837
578,-27.090036,-49.140052,0.8664234422822048,0.023721325051759612,-0.17818559999999994,0.455764312232132,-0.43602672314109725
579,-27.090125,-49.049417,0.8329378329063246,0.005978260869564989,-0.1689020000000001,0.44270126626988393,-0.4745040780407095
582,-27.089952,-48.779916,0.9040531452855731,0.007539751552795182,-0.25175700000000045,0.3967598357191555,-0.7882362367593743
597,-26.99628,-52.65116,0.1701395977729021,0.011223395445134177,0.5745309999999995,0.16300198314558934,-0.9985876048097992
