system:index,Lat,Long,UA,altitude,ciclo,lst_max,lst_mean,lst_min,lst_sd,ndvi_max,ndvi_mean,ndvi_min,ndvi_sd,prec_max,prec_mean,prec_min,prec_sd,.geo
1_2_0000000000000000000b_0,-28.70792,-49.588646,39,71,ciclo1,27.342727272727302,23.02483922558926,16.186666666666696,3.950427530577358,0.8699833333333333,0.7915190277777779,0.6942499999999999,0.053340452617100506,742.7101449966431,451.56342775623006,202.5110285282135,166.68413554625786,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.59149525981819,-28.70566490403931]}"
1_2_0000000000000000000c_0,-28.710759,-49.499466,40,40,ciclo1,30.19181818181821,25.338365319865346,18.696666666666687,4.00216327627839,0.7759833333333335,0.7068430555555555,0.6289333333333335,0.049090313339924335,746.4106044769287,440.1213933626811,199.58164286613464,164.80001034830903,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.50166373140623,-28.714648056880506]}"
1_2_0000000000000000000d_0,-28.709167,-49.409071,41,35,ciclo1,33.35181818181821,27.140955387205413,18.69666666666671,5.007411926270732,0.5816333333333333,0.5511558333333334,0.5026166666666666,0.025531953187423174,759.8976697921753,434.8565242389838,193.70485281944275,168.233227562081,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.41183220299428,-28.70566490403931]}"
1_2_0000000000000000000e_0,-28.619987,-49.59011,47,348,ciclo1,25.92818181818184,21.695057960557993,15.056666666666695,3.6868850173891023,0.8988333333333335,0.8545140277777777,0.7775,0.03730072705240818,707.0401139259338,464.075418005387,213.04502153396606,161.7068682723205,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.59149525981819,-28.615833375627357]}"
1_2_0000000000000000000f_0,-28.621879,-49.408916,49,86,ciclo1,30.457272727272755,24.850751683501713,17.3666666666667,4.260710134038596,0.7781166666666667,0.7366494444444444,0.6912500000000001,0.03253444177396332,775.9478492736816,444.49291002750397,188.0506076812744,173.1481510286586,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.41183220299428,-28.624816528468553]}"
1_2_00000000000000000010_0,-28.617853,-49.315469,50,58,ciclo1,30.55400000000003,25.448458333333367,18.131666666666703,4.263078140689967,0.7491000000000002,0.7001334722222222,0.6438833333333335,0.03930312458398459,785.6405620574951,435.31923318902653,182.67290270328522,180.57304349988743,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.31301752174114,-28.615833375627357]}"
1_2_00000000000000000011_0,-28.6193,-49.232084,51,36,ciclo1,30.131666666666685,25.623240319865346,18.656666666666695,4.024964794257671,0.7513666666666667,0.6944102777777778,0.62505,0.04328528816144488,777.5131740570068,419.5938641031583,172.99191331863403,173.37474289370172,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.23216914617038,-28.615833375627357]}"
1_2_00000000000000000012_0,-28.529238,-49.497344,58,207,ciclo1,26.950000000000028,22.441968855218885,16.368333333333357,3.6895514241525103,0.8926,0.8571406944444445,0.8062666666666667,0.02621047869207196,735.8189759254456,460.86828310290974,217.01383447647095,162.84567371488077,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.50166373140623,-28.526001847215408]}"
1_2_00000000000000000013_0,-28.526374,-49.412979,59,437,ciclo1,26.28000000000003,22.03989478114481,15.398333333333369,3.7396702031327607,0.8575499999999999,0.8116443055555557,0.7635000000000001,0.03391018311260923,789.2961845397949,445.85862986246747,184.15273141860962,174.62238173811767,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.41183220299428,-28.526001847215408]}"
1_2_00000000000000000014_0,-28.43901,-49.947676,69,1101,ciclo1,25.141666666666694,19.71686363636367,10.835000000000022,4.7940721567248925,0.8398333333333334,0.7972052777777779,0.7428,0.03330278073303174,832.2860922813416,463.7573573390643,279.98419713974,144.44540112811111,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.95082137346599,-28.436170318803455]}"
1_2_00000000000000000015_0,-28.437969,-49.858788,70,1036,ciclo1,24.93166666666669,19.233414983165012,10.44833333333336,4.706710738709593,0.8271666666666667,0.7550469444444445,0.6719833333333334,0.052218666228662405,813.9178318977356,468.40307102600735,268.5293183326721,145.69519977074336,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.86098984505404,-28.436170318803455]}"
1_2_00000000000000000016_0,-28.443679,-49.498729,74,649,ciclo1,24.675714285714314,19.95773965848969,13.613333333333363,3.85431936511087,0.87285,0.8096995833333333,0.677925,0.05380370888584742,694.8930320739746,452.8951870103677,237.05409145355225,149.1242948642084,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.50166373140623,-28.445153471644648]}"
1_2_00000000000000000017_0,-28.440231,-49.229925,77,171,ciclo1,29.519090909090927,24.219431818181846,16.386666666666695,4.3831179728860885,0.7832166666666667,0.7123615277777778,0.5973,0.0622987638002999,756.0234031677246,408.4580302834511,167.52231085300446,167.58230888015188,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.23216914617038,-28.436170318803455]}"
1_2_00000000000000000018_0,-28.440008,-48.870006,81,116,ciclo1,28.240000000000027,24.042799663299693,18.118333333333357,3.6541320387520524,0.8350500000000002,0.7801477777777778,0.71505,0.039692919634813535,602.908429145813,412.9228977262974,186.9367356300354,143.36082119449424,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.87284303252257,-28.436170318803455]}"
1_2_00000000000000000019_0,-28.3502,-50.400054,85,1023,ciclo1,27.68833333333336,22.29448484848488,14.066666666666691,4.369287649723989,0.8086333333333334,0.7298604166666668,0.6565833333333333,0.054781342830202084,791.0000567436218,441.519866168499,286.4805018901825,136.95642633441807,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.39997901552576,-28.346338790391503]}"
1_2_0000000000000000001a_0,-28.35029,-50.221382,87,908,ciclo1,27.598333333333358,22.014319865319894,13.221666666666692,4.709733908999288,0.7673333333333333,0.6891290277777777,0.6030166666666666,0.05579185105130367,776.8848805427551,440.8548679848512,291.9250605106354,130.90907358578824,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.22031595870185,-28.346338790391503]}"
1_2_0000000000000000001b_0,-28.348379,-50.040497,89,1267,ciclo1,26.518333333333363,21.418122895622925,13.891666666666694,4.161010078532559,0.8023666666666666,0.743383888888889,0.6777666666666667,0.04530036631838829,796.4836645126343,451.70787545045215,282.750426530838,134.80584674883752,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.04065290187795,-28.346338790391503]}"
1_2_0000000000000000001c_0,-28.350039,-49.499967,95,500,ciclo1,25.746666666666698,21.280260461760488,15.550000000000026,3.651679168257179,0.8760833333333333,0.808973888888889,0.6111,0.07574815527436322,699.3984546661377,437.4863306383292,241.39971208572388,143.98017349719592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.50166373140623,-28.346338790391503]}"
