system:index,Lat,Long,UA,ciclo,lst_max,lst_mean,lst_min,lst_sd,ndvi_max,ndvi_mean,ndvi_min,ndvi_sd,prec_max,prec_mean,prec_min,prec_sd,rad_mean,rad_sd,umid_mean,umid_sd,.geo
1_1_00000000000000000039_0,-27.990802,-50.758215,177,ciclo1,31.750000000000057,19.907207207207254,1.2900000000000205,5.520666115829641,0.8456,0.7478333333333335,0.5705,0.05207101802225756,80.36031,4.820662,0.0,10.821023991526742,13.841307161707851,5.970301214206064,81.49524648822876,8.444835272944534,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.77727143485595,-28.00497898242608]}"
1_1_0000000000000000003a_0,-27.990133,-49.767671,188,ciclo1,30.710000000000036,18.932636916835733,5.090000000000032,5.000504025713057,0.8124,0.7007579710144924,0.5495,0.0631353788271837,81.63193,4.806259,0.0,11.13665508057538,13.141311724264938,5.608146185639099,83.50735633527061,9.36830358090316,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.78912462232448,-28.00497898242608]}"
1_1_0000000000000000003b_0,-28.012936,-49.491881,191,ciclo1,30.870000000000005,18.556852248394055,4.690000000000055,5.31175990643879,0.8496,0.7687463768115944,0.3473,0.07332805695058019,137.2728,4.7332473,0.0,11.70065976724411,13.071865371753516,5.58526949827648,84.2243685701226,8.03419784198865,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.47471427288264,-28.00497898242608]}"
1_1_0000000000000000003c_0,-27.992173,-49.41219,192,ciclo1,29.390000000000043,17.659281045751648,3.890000000000043,5.001892117532738,0.8735,0.7913043478260869,0.30410000000000004,0.0857182381871436,83.09293,4.7714334,0.0,11.563464757473177,13.064583260337999,5.592274508434098,84.35187094290562,7.796785615491019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.42979850867667,-28.00497898242608]}"
1_1_0000000000000000003d_0,-27.988858,-49.320053,193,ciclo1,31.410000000000025,18.316281755196332,4.170000000000016,5.092340059658343,0.8941,0.8079492753623191,0.3209,0.09477208912061723,93.50206,4.780614,0.0,11.531596088496377,12.953492443899627,5.527639844659756,84.40768134626146,7.508298363076692,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.33996698026472,-28.00497898242608]}"
1_1_0000000000000000003e_0,-27.98959,-49.230917,194,ciclo1,34.07000000000005,21.074890829694358,8.010000000000048,4.997087414684965,0.8787,0.8200391304347825,0.6431,0.04028788510458932,110.09303,4.8546686,0.0,11.802350851930155,12.953492443899627,5.527639844659756,84.40768134626146,7.508298363076692,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.25013545185276,-28.00497898242608]}"
1_1_0000000000000000003f_0,-27.98904,-49.048792,196,ciclo1,34.55000000000001,21.494947145877422,8.130000000000052,4.96659386254954,0.8536,0.7858246376811597,0.3704,0.0692891785385664,134.58305,5.027162,0.0,12.821513818465974,12.901790873123373,5.465914207151101,83.98815809381365,7.231533137042951,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.07047239502886,-28.00497898242608]}"
1_1_00000000000000000040_0,-27.993877,-48.9599,197,ciclo1,34.63000000000005,21.618240343347676,8.890000000000043,4.946076686224335,0.8711000000000001,0.8005057971014493,0.3365,0.06917833682038034,169.10179,5.047514,0.0,13.422632424659165,12.971848895041173,5.480140699262322,83.7596979061592,6.883442400624632,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.98064086661691,-28.00497898242608]}"
1_1_00000000000000000041_0,-27.990081,-48.869688,198,ciclo1,34.950000000000045,21.93542222222226,8.29000000000002,5.109960897823361,0.8639,0.7834550724637683,0.1232,0.09452210160412829,127.17943,5.0951447,0.0,13.159280861845097,13.078104548009222,5.5110748435792924,83.65039290846107,6.559957218459186,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.89080933820495,-28.00497898242608]}"
1_1_00000000000000000042_0,-27.989878,-48.77991,199,ciclo1,35.33000000000004,21.16061224489799,6.690000000000055,4.766631543254275,0.9148000000000001,0.857820289855073,0.2868,0.088219025158496,122.89519,5.013126,0.0,13.034667343386834,13.18065251513253,5.550694670562006,83.58109523655752,6.432919976484181,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.800977809793004,-28.00497898242608]}"
1_1_00000000000000000043_0,-27.901381,-50.579514,206,ciclo1,32.09000000000003,20.285302325581434,4.050000000000011,5.540557043335913,0.8171,0.7269057971014494,0.48750000000000004,0.06425526964022935,71.848526,4.7029414,0.0,10.475536114900766,13.458740670383653,5.7990047825532365,81.71430708905865,8.315838636260192,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.59760837803205,-27.91514745401413]}"
1_1_00000000000000000044_0,-27.900265,-50.399912,208,ciclo1,32.73000000000002,20.526059113300505,6.4500000000000455,5.385803107226069,0.8105,0.7113202898550723,0.4445,0.05991068371421418,68.17846,4.494021,0.0,10.179788305974322,13.427025821068575,5.789054325962345,81.83812849449775,8.570270229160258,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.417945321208144,-27.91514745401413]}"
1_1_00000000000000000045_0,-27.900401,-50.129431,211,ciclo1,32.410000000000025,20.904642032332593,5.510000000000048,5.347889953091883,0.7943,0.6868347826086956,0.4238,0.07643369927180729,97.15989,4.7267485,0.0,11.37207893879948,13.18202709412796,5.659640813120397,82.76640105374388,9.143007202238618,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.14845073597228,-27.91514745401413]}"
