UA,Lat,Long,anom_lst_max,anom_lst_mean,anom_lst_min,anom_lst_sd,anom_ndvi_max,anom_ndvi_mean,anom_ndvi_min,anom_ndvi_sd,anom_prec_max,anom_prec_mean,anom_prec_min,anom_prec_sd,anom_rad_mean,anom_rad_sd,anom_umid_mean,anom_umid_sd
208,-27.900265,-50.399912,0.0,0.6234408866995444,-1.6200000000000045,0.052356448174893266,0.03739999999999999,0.03545051759834372,-0.17620000000000002,0.0146615836567002,17.395920000000004,0.34163370000000004,0.0,0.18130888585420557,0.3988507704373241,0.25861205985778035,-0.9216723773238016,0.6250401518141864
211,-27.900401,-50.129431,2.0600000000000023,1.199432041741531,0.01999999999998181,0.08430934322374206,0.038000000000000034,0.02239627329192595,-0.011099999999999999,-0.013880373711641997,-13.144280000000009,0.015221499999999999,0.0,-1.1441989410631308,0.38802202319955725,0.2552754668638606,-0.7090348104691344,0.3651332638255287
214,-27.899998,-49.860002,1.7800000000000331,1.0294902183998502,-0.06000000000000294,0.14824424148450444,0.0008000000000000229,0.02360973084886131,0.020299999999999985,-0.02114575230943931,-60.29648,-0.11242190000000019,0.0,-1.7098453443157027,0.40388577586321084,0.25094407847803346,-0.6462019303439064,0.23657397304821082
217,-27.9,-49.590005,0.8600000000000101,1.0797881688232849,-0.6200000000000045,0.12229590001297552,-0.0012999999999999678,0.021408074534161048,0.2127,-0.03520082002933719,-9.486500000000007,-0.28544190000000036,0.0,-1.7140574458657252,0.4167996923594295,0.2150115009882967,-0.8011056546393718,0.20116041537951013
218,-27.90127,-49.497506,0.4000000000000341,0.8957827490124224,-2.159999999999968,0.11652517066287515,0.034399999999999986,0.020151138716355987,0.02959999999999996,-0.0074514215513998006,-21.554095000000004,-0.2445283000000007,0.0,-1.3324952326823212,0.42277271206706324,0.208158105645464,-0.9183963508774724,0.24574524184944657
221,-27.900071,-49.23011,0.8000000000000114,0.8278606218178481,-1.2199999999999704,-0.04743488958924136,0.03159999999999996,0.030749689440993877,-0.12200000000000005,-0.004261739334149098,-5.333484999999996,-0.43309199999999937,0.0,-1.6179567973476985,0.43204601967525846,0.19985703333048743,-1.0198202725034378,0.3031623026916854
225,-27.89829,-48.872028,1.7799999999999727,0.7054335291706337,-2.2800000000000296,0.17261068355494924,0.036599999999999966,0.026160662525879452,0.3005,-0.0497168508407731,-58.847689999999986,-0.6369047999999999,0.0,-2.9274613158429084,0.44094723235128974,0.21624939565355028,-0.9658591378897654,0.3470671774061369
242,-27.809913,-49.949884,1.5400000000000205,1.0898554561717297,0.12000000000000455,0.1540765272467466,0.021299999999999986,0.006544927536231815,-0.07790000000000002,0.014680676241659703,3.3024800000000027,-0.14396900000000024,0.0,-1.0911134224642574,0.3719197067033502,0.2586466821014133,-0.6083780661444393,0.2128552623724822
246,-27.810002,-49.590001,3.8799999999999955,1.0306581190813375,-2.240000000000009,0.4649825209813683,0.027700000000000058,0.01122774327122189,0.0030000000000000027,-0.008451942866093493,-15.62966999999999,-0.34745459999999984,0.0,-2.0287186776125985,0.39087929767382157,0.22351817625300363,-0.7849413773347607,0.16537540619257918
249,-27.811772,-49.322116,0.9800000000000182,0.854206185567012,0.9200000000000159,0.05323765487960319,0.013000000000000012,0.02412443064182168,0.10769999999999999,-0.017502412300345202,-11.803250000000006,-0.34998660000000026,0.0,-1.2116840139021754,0.41376382252000354,0.2128666796821843,-0.8765512330889891,0.0936358907659649
251,-27.809991,-49.140081,1.4399999999999977,0.4118097346762113,-1.1000000000000227,-0.06376810396250221,0.011299999999999977,0.025462525879916598,-0.05509999999999998,-0.025672614968289112,30.519970000000015,-0.48428870000000046,0.0,-1.282028763021275,0.43009892102370095,0.21585961995801028,-0.9043573543216183,0.17440142803039205
253,-27.809636,-48.960908,1.4600000000000364,0.9249249851315433,-0.34000000000003183,-0.049661786847338796,0.011500000000000066,0.010504347826086557,-0.0892,-0.008766171590205707,1.4465200000000067,-0.6282863000000001,0.0,-2.1510212128173425,0.43912579443891886,0.21813430385143118,-0.9572360229834942,0.31361542023012046
