Unnamed: 0,UA,sorensen,bray_curtis,legendre,podani,n_especies_ingresso,n_especies_egresso,abundancia_ingresso,abundancia_egresso,abund_total_c1,abund_total_c2,taxa_rel_ingresso,taxa_rel_egresso,taxa_rel_ingresso_pct,taxa_rel_egresso_pct,ganho_liquido_especies,ganho_liquido_individuos,taxa_liquida_abund_pct,PD,MPD,MNTD,q0_riqueza_c1,q1_shannon_c1,q2_simpson_c1,q0_riqueza_c2,q1_shannon_c2,q2_simpson_c2,diff_q0,diff_q1,diff_q2,ganho_liquido,trajetoria,PD_ciclo1,MPD_ciclo1,MNTD_ciclo1,PD_ciclo2,MPD_ciclo2,MNTD_ciclo2,PD_delta,MPD_delta,MNTD_delta
18,1052,0.125,0.1849710982658959,0.125,0.1849710982658959,5,7,6,8,149,197,0.0304568527918781,0.0536912751677852,3.045685279187817,5.369127516778524,-2,-2,-2.3234422375907062,3937.773201999,301.6770438230884,100.33183734704082,49,32.80873258834109,23.39409905163329,47,30.579678119019952,21.96321448783248,-2,-2.2290544693211345,-1.430884563800813,-2,Declínio,3937.773201999,301.6770438230884,100.33183734704082,3926.966425899,307.5560220811785,98.80951760846808,-10.806776099999752,5.878978258090115,-1.5223197385727332
19,1055,0.2352941176470588,0.2655086848635236,0.2352941176470588,0.2655086848635236,6,2,17,2,151,252,0.0674603174603174,0.0132450331125827,6.746031746031746,1.3245033112582782,4,15,5.421528434773467,1807.989246,293.7493875428572,158.521206,15,7.256264817958621,5.356119332863518,19,8.508952505192513,5.704635285662954,4,1.252687687233891,0.3485159527994366,15,Regeneração,1807.989246,293.7493875428572,158.521206,1889.880607,277.6630886432749,119.96086152631578,81.89136099999996,-16.086298899582346,-38.56034447368423
20,1056,0.0888888888888888,0.1069418386491557,0.0888888888888888,0.1069418386491557,6,2,6,2,259,274,0.0218978102189781,0.0077220077220077,2.18978102189781,0.7722007722007722,4,4,1.417580249697038,3605.577736996,282.97001304964783,112.17399167423255,43,20.36026061480158,12.602104076648509,47,20.64991483719299,11.56795069337442,4,0.2896542223914125,-1.034153383274086,4,Regeneração,3605.577736996,282.97001304964783,112.17399167423255,3677.016902996,279.9970827244638,102.55002849982608,71.43916600000011,-2.972930325184052,-9.62396317440647
21,1059,0.15,0.1890660592255125,0.15,0.1890660592255125,9,3,19,4,200,239,0.0794979079497908,0.02,7.949790794979079,2.0,6,15,5.949790794979079,3074.082819996,258.68292004783183,109.76768859437838,37,24.131874926812905,18.29826166514181,43,26.15376972826149,18.384615384615383,6,2.0218948014485925,0.0863537194735712,15,Regeneração,3074.082819996,258.68292004783183,109.76768859437838,3693.783650996,301.0775081229221,108.24980361885714,619.7008309999997,42.39458807509027,-1.5178849755212411
22,1061,0.1692307692307692,0.1516483516483516,0.1692307692307692,0.1516483516483516,6,5,22,6,211,244,0.0901639344262295,0.0284360189573459,9.01639344262295,2.843601895734597,1,16,6.172791546888353,2824.5274725,264.8795918731183,135.5446649354839,32,13.112309574289592,7.817559262510974,33,15.2563711109216,9.465182829888713,1,2.1440615366320053,1.6476235673777389,16,Regeneração,2824.5274725,264.8795918731183,135.5446649354839,2930.688818,325.21729034274193,104.23621828125,106.16134550000017,60.33769846962366,-31.30844665423389
23,1062,0.0833333333333333,0.1689860834990059,0.0833333333333333,0.1689860834990059,3,1,3,2,220,283,0.0106007067137809,0.009090909090909,1.060070671378092,0.9090909090909092,2,1,0.1509797622871828,2448.8502350000003,273.5591039604743,138.70475060869566,23,10.996427638673817,6.820744081172491,25,10.753905263068994,6.714932506078643,2,-0.2425223756048211,-0.1058115750938482,1,Estagnação,2448.8502350000003,273.5591039604743,138.70475060869566,2598.569869,271.70758415333336,140.73160444,149.7196339999996,-1.85151980714096,2.0268538313043507
24,1063,0.0379746835443038,0.1483622350674373,0.0379746835443038,0.1483622350674373,1,2,1,2,286,233,0.0042918454935622,0.0069930069930069,0.4291845493562232,0.6993006993006993,-1,-1,-0.2701161499444761,3361.0031870000003,277.8746065923077,104.22947555,40,12.823274982193563,5.731221973094169,39,15.40461895427789,8.177285735803585,-1,2.5813439720843263,2.446063762709416,-1,Estagnação,3361.0031870000003,277.8746065923077,104.22947555,3309.11614,279.5919936194332,105.61302435897436,-51.887047000000166,1.7173870271254827,1.3835488089743535
25,1068,0.1058823529411764,0.1742424242424242,0.1058823529411764,0.1742424242424242,2,7,3,8,149,115,0.0260869565217391,0.0536912751677852,2.608695652173913,5.369127516778524,-5,-5,-2.7604318646046107,3476.2381599990003,240.2916559757132,111.23832553337778,45,29.1260370521701,20.055103884372176,40,28.39403540071803,21.22792937399679,-5,-0.7320016514520731,1.1728254896246142,-5,Declínio,3476.2381599990003,240.2916559757132,111.23832553337778,3138.7927158990005,240.85375729841152,108.57687666495,-337.4454440999998,0.5621013226983109,-2.661448868427769
26,1069,0.094017094017094,0.1002331002331002,0.094017094017094,0.1002331002331002,6,5,6,6,217,212,0.0283018867924528,0.0276497695852534,2.830188679245284,2.7649769585253456,1,0,0.0652117207199376,4530.488268825,257.23254019260435,118.18076959163793,58,36.55650871974164,25.68957992362247,59,38.46950005725775,27.57300613496933,1,1.912991337516111,1.8834262113468585,0,Estagnação,4530.488268825,257.23254019260435,118.18076959163793,4986.7706617250005,273.6506766586616,128.7591895611356,456.28239290000056,16.418136466057263,10.578419969497672
27,1072,0.1153846153846153,0.1372549019607843,0.1153846153846153,0.1372549019607843,9,3,13,4,216,243,0.0534979423868312,0.0185185185185185,5.349794238683128,1.851851851851852,6,9,3.497942386831276,4150.347430003,306.13787133515643,107.33941444916329,49,24.87973709369216,16.428169014084506,55,27.0113016940183,16.647589512263885,6,2.131564600326147,0.2194204981793781,9,Regeneração,4150.347430003,306.13787133515643,107.33941444916329,4279.580477003,296.68793678529426,93.58996460010908,129.23304699999971,-9.449934549862178,-13.7494498490542
